test_p0_.png: psnr=22.001527746919976 ssim=0.7958825570974816 uiqm=0.6459098727527197 uciqe=26.23977358436501
test_p2_.png: psnr=28.734712874757836 ssim=0.8402740101661651 uiqm=0.4428375033614504 uciqe=32.3471277734455
test_p3_.png: psnr=18.929005325026967 ssim=0.8258727043595696 uiqm=1.0589140880185606 uciqe=22.443623235522686
test_p5_.png: psnr=23.779474968707763 ssim=0.8891802099364189 uiqm=0.5527933852040027 uciqe=32.07620884393703
test_p6_.png: psnr=17.777621037673374 ssim=0.7390374254966776 uiqm=0.33610190212404367 uciqe=25.352997059887986
test_p7_.png: psnr=26.194554153348136 ssim=0.8943561487764202 uiqm=0.48390911710306317 uciqe=24.266015104881255
test_p8_.png: psnr=23.60552621276331 ssim=0.8461032263491267 uiqm=0.8535333655596897 uciqe=27.709020838375476
test_p9_.png: psnr=24.788739582504228 ssim=0.8674979152504249 uiqm=0.43973139383678506 uciqe=26.83016804772465
test_p11_.png: psnr=23.38094046547937 ssim=0.8442792679214893 uiqm=0.43612236706124785 uciqe=27.148254479475433
test_p12_.png: psnr=19.479614422636452 ssim=0.8246708118347431 uiqm=1.0431507899197645 uciqe=25.108661754965354
test_p13_.png: psnr=22.340517659579998 ssim=0.8337964178409601 uiqm=0.8584761916705881 uciqe=28.16801609217998
test_p14_.png: psnr=19.920229589748214 ssim=0.73767762737157 uiqm=0.660876441504375 uciqe=27.285126211257708
test_p15_.png: psnr=23.082639840408092 ssim=0.8451030773086236 uiqm=0.8581487710156414 uciqe=26.535614200802062
test_p16_.png: psnr=17.83173287854498 ssim=0.7592662481086387 uiqm=-0.0740493208221239 uciqe=23.043440813290008
test_p17_.png: psnr=23.516728511727294 ssim=0.8743073828543833 uiqm=0.6728914926005652 uciqe=30.62482647585552
test_p20_.png: psnr=19.475913853971928 ssim=0.6866017531758928 uiqm=0.553587255867667 uciqe=26.21470875080959
test_p21_.png: psnr=22.954618017703446 ssim=0.8350025512193717 uiqm=1.0102972603648555 uciqe=25.23489366197899
test_p22_.png: psnr=21.32703262420311 ssim=0.7199159682967915 uiqm=1.0112692230231257 uciqe=26.41574620381219
test_p23_.png: psnr=18.37963312375233 ssim=0.7698761997486688 uiqm=0.4533345564433675 uciqe=26.001179614018668
test_p24_.png: psnr=23.230384360024757 ssim=0.7905395706287092 uiqm=0.7789801484975405 uciqe=26.00930184919616
test_p25_.png: psnr=14.681150146767434 ssim=0.6588786377257633 uiqm=0.4306048399899405 uciqe=24.8850316951102
test_p26_.png: psnr=20.1963279483396 ssim=0.8903720967719329 uiqm=0.704908839751031 uciqe=25.77998315042009
