conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
LOL-pc,0,14,22.1853264117362,0.8951500810155467,0.11942888796329498,11.263925055686633
LOL-pc,0,13,21.830670588454755,0.7938626240345606,0.18160505592823029,8.255292222601728
LOL-pc,0,12,24.288530616969123,0.9163142638387786,0.11544390767812729,9.88656725707539
LOL-pc,0,11,21.874618361740353,0.8572740612505557,0.1652219295501709,6.449334419971402
LOL-pc,0,10,21.995556771070955,0.8188106079839124,0.2508811950683594,6.657290260074609
LOL-pc,0,9,24.14196549109322,0.8667248282873773,0.10891225934028625,9.031396898664278
LOL-pc,0,8,20.793177037412534,0.7438602346298193,0.19069388508796692,11.078507773140538
LOL-pc,0,7,18.683686587798746,0.8732813079180399,0.17639660835266113,14.89100725121461
LOL-pc,0,6,17.796302016822935,0.8366373605368125,0.15909478068351746,6.116587384090125
LOL-pc,0,5,17.822363815413503,0.8591701176103019,0.1432436853647232,5.101365122514414
LOL-pc,0,4,20.556902827852383,0.9038500311687858,0.13302665948867798,4.800120149491127
LOL-pc,0,3,17.573738542446723,0.7682697157327524,0.19819222390651703,4.200876206991641
LOL-pc,0,2,18.07025426554129,0.7915172357637498,0.2724605202674866,4.334333045011739
LOL-pc,0,1,22.448297716394578,0.8775281577137991,0.16549742221832275,6.053559899493238
LOL-pc,0,0,15.77696947783799,0.8708428422445627,0.1342659890651703,7.5292322945627
